x,y,z
1732,85,88.0
1732,92,88.0
1732,97,88.0
1733,85,88.0
1733,92,88.0
1733,97,88.0
1734,85,88.0
1734,92,88.0
1734,97,88.0
1735,85,88.0
1735,92,88.0
1735,97,88.0
1736,85,88.0
1736,92,88.0
1736,97,88.0
1737,85,88.0
1737,92,88.0
1737,97,88.0
1738,85,88.0
1738,92,88.0
1738,97,88.0
1739,85,88.0
1739,92,88.0
1739,97,88.0
1740,90,101.0
1740,95,101.0
1740,102,101.0
1741,90,101.0
1741,95,101.0
1741,102,101.0
1742,90,101.0
1742,95,101.0
1742,102,101.0
1743,90,101.0
1743,95,101.0
1743,102,101.0
1744,90,101.0
1744,95,101.0
1744,102,101.0
1745,90,101.0
1745,95,101.0
1745,102,101.0
1746,90,101.0
1746,95,101.0
1746,102,101.0
1747,90,101.0
1747,95,101.0
1747,102,101.0
1748,90,101.0
1748,95,101.0
1748,102,101.0
1749,90,101.0
1749,95,101.0
1749,102,101.0
1750,90,101.0
1750,95,101.0
1750,102,101.0
1751,90,101.0
1751,95,101.0
1751,102,101.0
1824,75,75.0
1824,82,75.0
1825,75,75.0
1825,82,75.0
1826,73,75.0
1826,80,75.0
1827,70,75.0
1827,77,75.0
1828,70,75.0
1828,77,75.0
1829,70,75.0
1829,77,75.0
1830,68,75.0
1830,75,75.0
1831,68,75.0
1831,75,75.0
1832,68,75.0
1832,75,75.0
1833,68,75.0
1833,75,75.0
1834,68,75.0
1834,75,75.0
1835,68,75.0
1835,75,75.0
1836,68,75.0
1836,75,75.0
1837,68,75.0
1837,75,75.0
1838,70,75.0
1838,77,75.0
1839,73,75.0
1839,80,75.0
1840,73,75.0
1840,80,75.0
1841,73,75.0
1841,80,75.0
1842,75,75.0
1842,82,75.0
1843,75,75.0
1843,82,75.0
1844,73,75.0
1844,80,75.0
1845,70,75.0
1845,77,75.0
1846,70,75.0
1846,77,75.0
1847,70,75.0
1847,77,75.0
1858,82,75.0
1859,82,75.0
1859,87,75.0
1860,82,75.0
1860,87,75.0
1860,94,88.0
1861,82,75.0
1861,87,75.0
1861,94,88.0
1862,82,75.0
1862,87,75.0
1862,94,88.0
1863,82,75.0
1863,87,75.0
1863,94,88.0
1864,80,88.0
1864,82,75.0
1864,87,75.0
1864,94,88.0
1865,80,88.0
1865,82,75.0
1865,85,88.0
1865,87,75.0
1865,94,88.0
1866,80,88.0
1866,85,88.0
1866,92,88.0
1867,80,88.0
1867,85,88.0
1867,92,88.0
1868,80,88.0
1868,85,88.0
1868,92,88.0
1869,80,88.0
1869,85,88.0
1869,92,88.0
1870,75,88.0
1870,80,88.0
1870,85,88.0
1870,92,88.0
1871,75,88.0
1871,80,88.0
1871,85,88.0
1871,92,88.0
1872,75,88.0
1872,80,88.0
1872,87,75.0
1873,75,88.0
1873,80,88.0
1873,87,75.0
1874,75,88.0
1874,80,88.0
1874,87,75.0
1875,75,88.0
1875,80,88.0
1875,87,75.0
1876,70,75.0
1876,75,88.0
1876,80,88.0
1876,87,75.0
1877,70,75.0
1877,75,75.0
1877,80,88.0
1877,87,75.0
1878,70,75.0
1878,75,75.0
1878,82,75.0
1879,70,75.0
1879,75,75.0
1879,82,75.0
1880,70,75.0
1880,75,75.0
1880,82,75.0
1881,70,75.0
1881,75,75.0
1881,82,75.0
1882,68,75.0
1882,70,75.0
1882,75,75.0
1882,82,75.0
1883,68,75.0
1883,70,75.0
1883,73,75.0
1883,75,75.0
1883,82,75.0
1884,68,75.0
1884,73,75.0
1884,80,62.0
1885,68,75.0
1885,73,75.0
1885,80,62.0
1886,68,75.0
1886,73,75.0
1886,80,62.0
1887,68,75.0
1887,73,75.0
1887,80,62.0
1888,68,75.0
1888,70,62.0
1888,73,75.0
1888,80,62.0
1889,68,75.0
1889,70,62.0
1889,73,75.0
1889,80,62.0
1890,70,62.0
1890,75,62.0
1891,70,62.0
1891,75,62.0
1892,70,62.0
1892,75,62.0
1893,68,62.0
1894,68,62.0
1895,68,62.0
1902,71,88.0
1903,71,88.0
1904,71,88.0
1905,71,88.0
1906,71,88.0
1907,71,88.0
1908,71,88.0
1909,71,88.0
1910,71,88.0
1911,71,88.0
1912,71,88.0
1913,71,88.0
1914,71,88.0
